,Type,Air temperature [K],Process temperature [K],Torque [Nm],Tool wear [min]
11017,0.0,0.8142431328988593,0.827160493827158,0.7042166673819907,0.9723320158102766
7831,1.0,0.4239130434782581,0.6049382716049436,0.6567164179104477,0.3359683794466403
5369,1.0,0.7826086956521721,0.7654320987654302,0.6716417910447761,0.8102766798418972
14000,0.5,0.7525774901254891,0.6191932570219194,0.8206535886743742,0.3438735177865612
13307,0.5,0.3093102226496427,0.35915195181177495,0.7203902726116629,0.8181818181818181
9521,0.5,0.38043478260869534,0.3333333333333357,0.40724946695095954,0.03162055335968379
15404,0.5,0.7603339668828681,0.6166756167064733,0.589796361666026,0.43083003952569165
6217,1.0,0.6630434782608603,0.6172839506172849,0.9296375266524519,0.3636363636363636
1631,0.5,0.3152173913043441,0.2592592592592595,0.24307036247334746,0.25296442687747034
15207,0.5,0.5950568510416971,0.5610332714846962,0.8703572137616218,0.7470355731225296
16276,0.5,0.3457422669242689,0.40671977304987195,0.640305134773747,0.8695652173913043
12280,0.5,0.7257240713402737,0.6350821437139089,0.8917262368794794,0.3636363636363636
116,0.5,0.3913043478260789,0.3703703703703738,0.5245202558635395,0.4268774703557312
1716,0.5,0.30434782608695343,0.24691358024691112,0.43070362473347534,0.43083003952569165
17186,0.5,0.814524433805154,0.6500953702815835,0.6502054370082071,0.6798418972332015
10191,0.5,0.6699500302539363,0.6146691243483033,0.9226377092095757,0.35968379446640314
13903,0.5,0.3073051269091991,0.3755180005102332,0.4781845952658924,0.8181818181818181
13634,0.5,0.6356399989101575,0.6970960996319207,0.7866302092545225,0.7470355731225296
14957,0.5,0.7367880902316912,0.6559172520890257,0.8570815932626341,0.8181818181818181
10540,0.5,0.41276280203758375,0.5057091409644556,0.7525401133332914,0.8577075098814229
3298,0.5,0.6739130434782581,0.5802469135802468,0.7313432835820894,0.02766798418972332
7401,1.0,0.5326086956521721,0.7160493827160508,0.4434968017057569,0.2608695652173913
2869,1.0,0.5652173913043441,0.5061728395061778,0.40085287846481865,0.6561264822134387
12905,0.5,0.7120088185742759,0.6202401518247029,0.9096957318371144,0.8418972332015809
17174,0.5,0.5449278100000541,0.44855986512349943,0.8775407177318448,0.15810276679841895
14238,0.5,0.7126687615492173,0.5555555555555571,0.9023593031235175,0.3636363636363636
2180,1.0,0.44565217391303946,0.3703703703703738,0.8614072494669509,0.4110671936758893
16355,0.0,0.7651272210085622,0.6273539182023029,0.7960952350772421,0.43478260869565216
17874,0.0,0.27169712534192314,0.23218464251081627,0.3599872224374687,0.8853754940711462
10223,0.5,0.837084563872672,0.6791577762504488,0.6592504861846189,0.683794466403162
8151,0.5,0.29347826086956275,0.3827160493827222,0.3496801705756929,0.43083003952569165
14625,0.0,0.8043478260869534,0.6139780104377479,0.7454880396103862,0.0909090909090909
2494,0.5,0.4347826086956488,0.4197530864197603,0.35607675906183356,0.24505928853754938
4488,0.5,0.8804347826086882,0.7530864197530889,0.33688699360341146,0.6758893280632411
153,1.0,0.3369565217391255,0.308641975308646,0.4243070362473347,0.83399209486166
10085,0.5,0.5900773621537638,0.5791956410772627,0.9761792259772839,0.011857707509881422
9825,0.5,0.47081510532695603,0.4347008938648429,0.18583562982471513,0.7035573122529644
11329,0.5,0.871781849798758,0.7461874635202861,0.7128349009530297,0.3517786561264822
5258,0.5,0.7717391304347743,0.7407407407407405,0.14498933901918964,0.4426877470355731
9509,0.5,0.35869565217391397,0.3333333333333357,0.35181236673773986,0.7430830039525691
12556,0.5,0.466844151533671,0.541776150663793,0.7695935141907866,0.8023715415019762
11014,0.5,0.8136896071838535,0.6381990055117157,0.687800280560223,0.13043478260869565
2733,0.5,0.5760869565217348,0.45679012345679126,0.4968017057569296,0.9209486166007904
4838,1.0,0.9456521739130395,0.9012345679012341,0.76545842217484,0.24110671936758893
5106,1.0,0.8478260869565233,0.8395061728395063,0.21108742004264391,0.6324110671936758
10584,0.5,0.5885228062261305,0.5833141591059317,0.7899720549576976,0.8023715415019762
858,0.0,0.03260869565217206,0.06172839506172778,0.7505330490405115,0.533596837944664
5846,1.0,0.6195652173912976,0.6666666666666714,0.5820895522388059,0.6600790513833992
10436,0.0,0.7584446737125532,0.6337127153662223,0.6072168873082364,0.5138339920948616
12168,0.5,0.6403498695985661,0.599558263418686,0.8957962445070937,0.7312252964426877
10024,0.0,0.8043478260869534,0.6141246530338762,0.7454753764437703,0.0909090909090909
12423,0.5,0.7377399319511255,0.547588325638884,0.7058689434727301,0.14624505928853754
4528,0.5,0.8804347826086882,0.7407407407407405,0.6652452025586353,0.20158102766798416
3764,0.5,0.7826086956521721,0.7283950617283992,0.7228144989339018,0.7747035573122529
14477,1.0,0.7524064190472046,0.6035716632571422,0.6122082416502934,0.533596837944664
6270,0.5,0.6739130434782581,0.6172839506172849,0.6609808102345416,0.08695652173913043
11074,0.5,0.8586956521739069,0.7145990629768377,0.8013455446683035,0.007905138339920948
9764,0.0,0.5506727496670223,0.518518518518519,0.5615190365086047,0.8300395256916996
3711,0.5,0.7826086956521721,0.7160493827160508,0.511727078891258,0.14624505928853754
1396,0.5,0.3913043478260789,0.5555555555555571,0.15991471215351816,0.40711462450592883
11030,0.5,0.3576986470480392,0.3378203481341586,0.7515065086256472,0.8537549407114624
13271,0.5,0.5591842895070016,0.7420998855643433,0.28461722381957244,0.8221343873517786
7815,0.5,0.4021739130434767,0.5802469135802468,0.30277185501066084,0.18972332015810275
7168,1.0,0.5434782608695627,0.7160493827160508,0.4434968017057569,0.30039525691699603
1076,0.5,0.1630434782608674,0.2716049382716008,0.5628997867803838,0.47826086956521735
1085,1.0,0.18478260869564878,0.2716049382716008,0.2814498933901918,0.5573122529644269
417,1.0,0.2391304347826022,0.3456790123456841,0.5245202558635395,0.15810276679841895
17029,0.5,0.6115775683939333,0.5614320042092587,0.8826268330104461,0.7391304347826086
4700,0.5,0.9021739130434767,0.8518518518518547,0.4136460554371002,0.40711462450592883
15628,0.5,0.7511380075417122,0.6023531680533907,0.5997281546944049,0.6363636363636364
5185,0.5,0.8369565217391255,0.8518518518518547,0.46908315565031977,0.49407114624505927
942,1.0,0.10869565217390686,0.17283950617284205,0.29211087420042636,0.5968379446640316
15695,0.5,0.5604216420612858,0.5024415343884883,0.9533382729247923,0.06719367588932806
7277,0.5,0.5652173913043441,0.7283950617283992,0.21108742004264391,0.6245059288537549
13891,0.0,0.7265295093421926,0.5802469135802468,0.8934183557247646,0.08300395256916995
11867,1.0,0.7249100328289515,0.6704260684052201,0.8948891670298631,0.5059288537549407
1458,0.5,0.30434782608695343,0.4074074074074119,0.43496801705756927,0.2292490118577075
3110,1.0,0.6195652173912976,0.49382716049382935,0.8166311300639657,0.6403162055335968
466,1.0,0.22826086956521152,0.4074074074074119,0.2260127931769722,0.6996047430830039
619,0.0,0.2608695652173836,0.44444444444444997,0.6140724946695095,0.5810276679841897
7009,0.5,0.45652173913043015,0.5308641975308674,0.49040511727078895,0.3557312252964427
12113,1.0,0.35518316292028373,0.2931514457540061,0.383146657919766,0.7826086956521738
6277,1.0,0.6847826086956488,0.6049382716049436,0.21321961620469077,0.15810276679841895
16510,0.0,0.7933258178728195,0.6296296296296333,0.7025160414771299,0.09486166007905138
2407,0.5,0.38043478260869534,0.3580246913580325,0.44989339019189767,0.15810276679841895
1100,0.0,0.18478260869564878,0.2716049382716008,0.15351812366737738,0.7075098814229248
8941,1.0,0.2391304347826022,0.2962962962963047,0.47547974413646044,0.4426877470355731
1559,0.5,0.28260869565216495,0.2592592592592595,0.36673773987206815,0.3952569169960474
5967,0.5,0.6413043478260789,0.6172839506172849,0.3880597014925372,0.19367588932806323
6460,0.5,0.6413043478260789,0.6172839506172849,0.26226012793176967,0.38735177865612647
11497,0.0,0.7608695652173907,0.6287432230370626,0.6156949238171441,0.5138339920948616
14020,0.5,0.21903759650371768,0.356526508590818,0.8964912081770289,0.8023715415019762
4704,1.0,0.9021739130434767,0.864197530864196,0.1577825159914712,0.45454545454545453
7925,1.0,0.38043478260869534,0.49382716049382935,0.579957356076759,0.5573122529644269
13485,0.5,0.8053439564977651,0.6210353481172888,0.5463598447739249,0.9209486166007904
14537,0.5,0.7852140710942095,0.634935443277783,0.6186011061770882,0.25296442687747034
418,0.5,0.22826086956521152,0.3209876543209944,0.44989339019189767,0.16996047430830039
17290,0.5,0.8804347826086882,0.7424333726922754,0.5316055795075785,0.7628458498023715
10222,0.5,0.7671868105663009,0.5658966278493835,0.5477834148408269,0.6561264822134387
7892,0.5,0.36956521739129755,0.5432098765432158,0.3731343283582089,0.17391304347826086
1708,1.0,0.30434782608695343,0.24691358024691112,0.3880597014925372,0.3201581027667984
15899,0.5,0.24772653753583285,0.31598477215730725,0.34577805465301015,0.8616600790513833
11949,0.5,0.47828426070131513,0.5079194286942865,0.7097059068703648,0.9130434782608695
4208,0.5,0.7826086956521721,0.5555555555555571,0.25799573560767597,0.25296442687747034
14656,1.0,0.7337738650383656,0.5923557009537248,0.6302634170275008,0.05928853754940711
11539,1.0,0.8205491484882472,0.6853022017170574,0.7278317285966363,0.4624505928853755
5720,1.0,0.5978260869565162,0.6296296296296333,0.38166311300639655,0.17786561264822134
14794,0.5,0.6265304382826145,0.684765428786001,0.8171692955742689,0.7747035573122529
11975,0.5,0.6896647492051926,0.5893405761825221,0.7825159914712152,0.7667984189723319
17521,0.0,0.7983825230525952,0.5844815422774801,0.7374305461255097,0.07905138339920947
8989,0.5,0.29347826086956275,0.3703703703703738,0.6226012793176972,0.20553359683794464
17230,0.5,0.8586956521739069,0.7037037037037024,0.729058101905177,0.8972332015810276
16361,0.5,0.5995801609672569,0.5245395776847559,0.271596179180564,0.5612648221343873
10923,0.5,0.7640091993397746,0.6128941132053072,0.7277415153818274,0.616600790513834
1555,0.5,0.28260869565216495,0.2716049382716008,0.5010660980810234,0.3517786561264822
7312,0.5,0.5760869565217348,0.7407407407407405,0.5884861407249466,0.08695652173913043
13119,0.5,0.4549607874182584,0.41162198920730475,0.720452653159616,0.8142292490118577
6483,1.0,0.6086956521739069,0.6049382716049436,0.19402985074626855,0.6245059288537549
697,0.0,0.21739130434782084,0.3580246913580325,0.3731343283582089,0.5810276679841897
15652,0.5,0.4030439052334529,0.5733299386376984,0.618166227544823,0.8932806324110671
11023,0.5,0.3135935927434872,0.441363408574972,0.9696208538867002,0.023715415019762844
14366,0.5,0.7542210156630134,0.605345679809858,0.718566454870331,0.608695652173913
8123,1.0,0.35869565217391397,0.46913580246913966,0.5394456289978677,0.15019762845849802
6463,1.0,0.6304347826086953,0.6172839506172849,0.23240938166311298,0.4268774703557312
17165,0.5,0.8126783190608577,0.6884741401678909,0.8878106666882715,0.16996047430830039
1279,1.0,0.35869565217391397,0.5432098765432158,0.2750533049040511,0.05928853754940711
545,1.0,0.2608695652173836,0.48148148148148806,0.32196162046908317,0.683794466403162
3050,1.0,0.5217391304347814,0.4320987654321016,0.2899786780383795,0.8616600790513833
18368,0.5,0.748065692814059,0.5553883023045998,0.6068592589576334,0.6561264822134387
2833,1.0,0.5869565217391255,0.46913580246913966,0.10234541577825151,0.2608695652173913
16048,0.5,0.7316200614773791,0.5943878388756687,0.7622400447876652,0.49407114624505927
10838,0.5,0.18770920876155373,0.2996203358773286,0.6911017154958614,0.8379446640316205
3233,0.5,0.6739130434782581,0.6172839506172849,0.5010660980810234,0.22134387351778656
13016,0.0,0.8070636931427302,0.6012883238349858,0.7801427234714238,0.2608695652173913
15192,0.0,0.8546081141954005,0.7376803331857502,0.5980094552382857,0.9367588932806323
3517,0.5,0.7391304347826093,0.6790123456790127,0.31343283582089543,0.6996047430830039
8897,0.5,0.3478260869565162,0.3950617283950635,0.2515991471215351,0.8102766798418972
2391,0.5,0.4239130434782581,0.4074074074074119,0.5778251599147122,0.0
3998,1.0,0.7608695652173907,0.6296296296296333,0.24946695095948823,0.6679841897233201
9495,0.5,0.3260869565217348,0.2716049382716008,0.1876332622601279,0.5810276679841897
9038,1.0,0.3913043478260789,0.48148148148148806,0.5522388059701492,0.7865612648221343
807,0.5,0.14130434782608603,0.22222222222222143,0.3795309168443496,0.7786561264822134
17224,0.5,0.5279223157399997,0.4982954506569115,0.9315867920903453,0.8300395256916996
2114,0.5,0.4782608695652115,0.4197530864197603,0.7505330490405115,0.5494071146245059
13767,0.5,0.7019593008539573,0.6507391624780041,0.5117849268504948,0.8221343873517786
2197,0.5,0.4239130434782581,0.3456790123456841,0.7142857142857142,0.5652173913043478
6158,1.0,0.5652173913043441,0.49382716049382935,0.7292110874200426,0.5375494071146245
9679,0.0,0.8064363155986243,0.6634660536459833,0.6708817307565489,0.25296442687747034
11327,0.5,0.7680082205565526,0.5742575995456178,0.6704316355820192,0.6403162055335968
11939,0.5,0.8198377144782611,0.6459447924515089,0.7062972325787369,0.6679841897233201
6176,0.5,0.5760869565217348,0.49382716049382935,0.27931769722814503,0.7312252964426877
15674,0.0,0.3897706370394758,0.5231288170028492,0.533748013818729,0.1541501976284585
6044,1.0,0.5326086956521721,0.5061728395061778,0.5458422174840085,0.16205533596837943
7237,1.0,0.5760869565217348,0.7037037037037024,0.4328358208955223,0.21739130434782608
2413,0.5,0.38043478260869534,0.3580246913580325,0.31769722814498924,0.21739130434782608
12449,0.5,0.7042787000518942,0.6370762937976835,0.5552679502867455,0.8181818181818181
2923,0.5,0.5108695652173907,0.4074074074074119,0.255863539445629,0.31225296442687744
9474,0.5,0.3260869565217348,0.2716049382716008,0.5906183368869935,0.3913043478260869
3142,1.0,0.6413043478260789,0.5432098765432158,0.7782515991471215,0.1541501976284585
17793,0.5,0.29855758524156784,0.403746781972842,0.8986080841251245,0.24110671936758893
14381,0.5,0.8197083010343036,0.6525667188695934,0.55913467267891,0.13833992094861658
6760,0.5,0.6086956521739069,0.5925925925925952,0.33688699360341146,0.3201581027667984
14316,0.0,0.7295475813270969,0.5975058253409387,0.7032545115479529,0.5019762845849802
7043,0.5,0.5108695652173907,0.6666666666666714,0.5906183368869935,0.7075098814229248
3195,0.5,0.6521739130434767,0.6172839506172849,0.29850746268656714,0.6798418972332015
3990,0.5,0.7717391304347743,0.6296296296296333,0.18550106609808104,0.592885375494071
1077,0.5,0.1630434782608674,0.2716049382716008,0.28358208955223874,0.4861660079051383
11303,0.0,0.21490076136254999,0.2520971129243108,0.3050677772384729,0.8142292490118577
15157,0.0,0.7211600916757277,0.5545633258641587,0.7151743972566447,0.592885375494071
3756,0.0,0.8043478260869534,0.7160493827160508,0.31769722814498924,0.6482213438735177
7665,1.0,0.5434782608695627,0.7407407407407405,0.34754797441364593,0.3320158102766798
18374,0.5,0.17022510641452016,0.2726756576743625,0.6971547359893051,0.8418972332015809
5400,0.5,0.7499999999999929,0.7283950617283992,0.5159914712153517,0.2845849802371541
11121,0.5,0.7637399882080516,0.6438771115287878,0.5107679411653392,0.2608695652173913
6207,0.0,0.6521739130434767,0.6049382716049436,0.26439232409381663,0.23320158102766797
6944,0.5,0.5108695652173907,0.5802469135802468,0.5287846481876332,0.525691699604743
3708,0.5,0.7934782608695627,0.7407407407407405,0.14925373134328357,0.11857707509881422
11816,0.5,0.596349616637994,0.6384190751823198,0.9647763145352954,0.2608695652173913
8026,0.5,0.35869565217391397,0.5061728395061778,0.3091684434968017,0.8181818181818181
9597,0.0,0.23885544424665994,0.26909415781184265,0.3551375722667566,0.7984189723320158
13337,0.5,0.8057377640078869,0.6418458271865219,0.7530944355521687,0.450592885375494
9475,0.5,0.3260869565217348,0.2839506172839492,0.3773987206823026,0.3992094861660079
8486,0.5,0.22826086956521152,0.3703703703703738,0.3859275053304905,0.608695652173913
6928,0.5,0.5217391304347814,0.5925925925925952,0.19402985074626855,0.37549407114624506
7571,0.5,0.6304347826086953,0.8148148148148167,0.3240938166311299,0.2569169960474308
14132,0.5,0.5994462603604873,0.4746822931031005,0.6762239999001394,0.9090909090909091
12612,0.5,0.6401911628756949,0.49688875498522833,0.8714474365101581,0.4387351778656126
10243,0.5,0.5417797728997016,0.5102787359802505,0.34034223722666546,0.8142292490118577
4436,0.5,0.8478260869565233,0.6790123456790127,0.32196162046908317,0.0909090909090909
10493,0.5,0.8093291924249542,0.6195978833906608,0.5843455374796511,0.20553359683794464
9777,0.5,0.7739991168676568,0.5470602237992281,0.7413708822467422,0.24110671936758893
16403,1.0,0.8403511845083855,0.6969116935779951,0.5727360893302118,0.41897233201581024
4766,1.0,0.9130434782608674,0.8765432098765444,0.29211087420042636,0.24901185770750986
15806,1.0,0.7573679420224835,0.6460536808310806,0.5910158376370691,0.8418972332015809
17821,0.5,0.5034717895273815,0.49587370287925125,0.6880815484520335,0.9051383399209486
12103,0.5,0.8305168825918585,0.7298734348977618,0.5401981883755069,0.8656126482213438
16766,0.5,0.5087706374747185,0.5771250069564076,0.19567189990558087,0.9090909090909091
15010,0.5,0.7972951826506716,0.6452267605295958,0.5853814383805602,0.4229249011857707
11599,0.5,0.6037896100990494,0.77723137714095,0.8505009982804119,0.8379446640316205
1995,0.5,0.44565217391303946,0.44444444444444997,0.45628997867803833,0.11857707509881422
14626,0.5,0.8068962018725259,0.6372496948905777,0.5381831372907807,0.4426877470355731
5667,0.5,0.5760869565217348,0.6296296296296333,0.6631130063965884,0.4703557312252964
13199,0.5,0.7264578888110975,0.5403867729214511,0.6622818955244887,0.7391304347826086
18081,0.5,0.6180695706239518,0.659417265528262,0.7858609802799534,0.7667984189723319
849,0.5,0.03260869565217206,0.03703703703703809,0.6886993603411513,0.45454545454545453
11490,0.5,0.9315934887687902,0.9219887408310399,0.5959163032598771,0.849802371541502
9274,1.0,0.3913043478260789,0.5432098765432158,0.486140724946695,0.6047430830039525
10574,0.5,0.5763185762069298,0.45705319766713615,0.6677674899598496,0.9130434782608695
8063,0.5,0.3478260869565162,0.48148148148148806,0.25799573560767597,0.3517786561264822
11958,0.5,0.8136218709167622,0.7018915077079342,0.27135620601644184,0.8537549407114624
4705,0.5,0.9021739130434767,0.864197530864196,0.511727078891258,0.46640316205533594
10301,0.5,0.5488268109359637,0.5690157918539782,0.559867541751473,0.8102766798418972
1754,0.5,0.25,0.17283950617284205,0.40724946695095954,0.04743083003952569
13871,0.5,0.7227571256384948,0.5751465644345615,0.770174435151274,0.15810276679841895
16852,0.5,0.8542250357121972,0.717363505464526,0.6855080204713753,0.7905138339920948
14458,0.5,0.6947100823343177,0.5544855256142895,0.5806468828140903,0.308300395256917
9294,0.5,0.3478260869565162,0.5061728395061778,0.3198294243070362,0.8023715415019762
11504,0.5,0.3207145093026469,0.3132539047659151,0.8346074943379016,0.8537549407114624
5564,0.5,0.6413043478260789,0.654320987654323,0.2707889125799573,0.225296442687747
16779,0.5,0.33142869042403333,0.3188948128354383,0.9055699841477001,0.07509881422924901
10976,0.0,0.8765245811850448,0.752597434611566,0.7352874980423445,0.11462450592885375
7596,1.0,0.6304347826086953,0.827160493827158,0.10660980810234544,0.4980237154150197
5757,0.5,0.5978260869565162,0.6419753086419746,0.20895522388059695,0.5533596837944663
4182,0.5,0.6956521739130395,0.46913580246913966,0.9680170575692963,0.9051383399209486
4326,1.0,0.7826086956521721,0.5802469135802468,0.3304904051172708,0.6956521739130435
5985,1.0,0.6304347826086953,0.5925925925925952,0.8656716417910448,0.3952569169960474
1300,0.5,0.36956521739129755,0.5432098765432158,0.7356076759061834,0.2608695652173913
6229,0.5,0.6630434782608603,0.6172839506172849,0.1279317697228145,0.4861660079051383
6448,0.5,0.6413043478260789,0.6049382716049436,0.5373134328358208,0.25296442687747034
10205,0.5,0.46278144415117595,0.6185601990318688,0.3788750166688951,0.8458498023715414
14479,0.5,0.5764492588511985,0.5664219689166714,0.9629151527344169,0.0
11300,0.5,0.8119525451980962,0.6360421562118503,0.6827698268899471,0.1541501976284585
11183,0.0,0.6963209480970818,0.6508416688687504,0.27111839133284854,0.9090909090909091
4683,0.5,0.8804347826086882,0.8148148148148167,0.7398720682302771,0.2134387351778656
8171,1.0,0.22826086956521152,0.2716049382716008,0.30277185501066084,0.6561264822134387
3699,0.5,0.8043478260869534,0.7407407407407405,0.535181236673774,0.03162055335968379
3488,0.5,0.7391304347826093,0.7037037037037024,0.3688699360341151,0.40316205533596833
14687,0.5,0.6004569357787446,0.7194306879637651,0.7875884455312954,0.7667984189723319
18444,0.5,0.8712678555232927,0.744276419553259,0.5709326244800276,0.826086956521739
7661,0.5,0.5326086956521721,0.7283950617283992,0.3752665245202559,0.28063241106719367
4059,1.0,0.7934782608695627,0.654320987654323,0.6076759061833688,0.4387351778656126
15763,0.5,0.3914439703642145,0.4074602686152602,0.9718249725121426,0.7549407114624506
9725,0.5,0.38976940586588427,0.4812903478355892,0.8802794124243138,0.7351778656126482
15876,0.5,0.8408242311346541,0.6990987051514352,0.7002289043058092,0.7905138339920948
16606,1.0,0.7559469282637608,0.6349863796337374,0.5192512281393133,0.26482213438735175
13180,0.5,0.4891321324721787,0.5339546344506232,0.8160976092419181,0.7667984189723319
12466,0.0,0.7810759390329522,0.6297889473731431,0.7755435799974071,0.3992094861660079
7600,0.5,0.6195652173912976,0.8148148148148167,0.49893390191897646,0.5375494071146245
12422,0.5,0.5765160467089743,0.7448366078703401,0.4010111904199246,0.8458498023715414
15476,0.5,0.7380460150223769,0.5746899173947,0.8325212164426785,0.43083003952569165
8937,0.0,0.2608695652173836,0.3209876543209944,0.44562899786780374,0.3992094861660079
13854,1.0,0.7811894193660365,0.7300070792385753,0.7245227778693348,0.46640316205533594
10839,0.5,0.8647588057145157,0.6858988904411802,0.5838152276338937,0.11857707509881422
15003,1.0,0.7391304347826093,0.6172839506172849,0.567760529335769,0.8300395256916996
16806,0.5,0.8158453936143957,0.6708696709724435,0.7204359223346484,0.7905138339920948
14096,0.5,0.6688611718179018,0.6107738519828203,0.6804035649415028,0.8537549407114624
13043,0.0,0.8143235519400989,0.827160493827158,0.7053998046624839,0.9723320158102766
16667,0.5,0.7465311293750077,0.5658477742199963,0.5629040901298856,0.683794466403162
11148,0.0,0.2062880000476781,0.28054805461225385,0.35313851197859514,0.8142292490118577
16963,0.5,0.8059657685417392,0.8040005216650243,0.6812183939339969,0.8418972332015809
13452,0.5,0.7945927065167098,0.7154164876571727,0.8430933912732745,0.6640316205533596
12387,0.5,0.4392054028949204,0.3485398088309992,0.9249996320873726,0.11067193675889328
14868,0.0,0.7747610123398943,0.5484248210890925,0.670948025559446,0.5810276679841897
13383,0.5,0.7553778281851322,0.5431063741833597,0.8737399973247093,0.5612648221343873
16474,0.5,0.3359226111232658,0.43748178834451323,0.7690587498387065,0.7944664031620553
3948,0.5,0.6956521739130395,0.5432098765432158,0.64818763326226,0.15019762845849802
1051,1.0,0.1521739130434696,0.20987654320987303,0.39658848614072495,0.17786561264822134
12183,0.5,0.8043478260869534,0.6050556623102636,0.5240319753587119,0.03952569169960474
16020,0.5,0.2898943399650875,0.30999885071280886,0.696665395652498,0.8616600790513833
17344,0.5,0.5751091130301589,0.5744450046959315,0.39573530995328643,0.8893280632411067
6853,1.0,0.4999999999999929,0.5061728395061778,0.44989339019189767,0.43083003952569165
591,0.5,0.3260869565217348,0.5308641975308674,0.5245202558635395,0.2885375494071146
4337,1.0,0.7934782608695627,0.5925925925925952,0.2899786780383795,0.8063241106719367
18484,0.5,0.7557381609521912,0.6984679345580531,0.3655609664106573,0.8142292490118577
